package_name,resource_id,title_de,format,url,media_type,issued,modified,license,has_stac,is_service
geochemischer-bodenatlas-der-schweiz-mangan,12890366-4c25-4764-9cfc-f365c7345b06,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.geochemischer-bodenatlas_schweiz_mangan/items/geochemischer-bodenatlas_schweiz_mangan,,2023-06-30T00:00:00,,terms_open,true,false
geochemischer-bodenatlas-der-schweiz-mangan,03fb9ebb-c944-4ee3-838d-eaf4fa2d7229,ch.bafu.geochemischer-bodenatlas_schweiz_mangan,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-mangan,6be1dd05-8be4-4a9a-ab7e-5375726af51f,ch.bafu.geochemischer-bodenatlas_schweiz_mangan,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-mangan,d59d9530-dca7-47f5-95bb-f2d76437c2f7,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.geochemischer-bodenatlas_schweiz_mangan,text/html,2023-06-30T00:00:00,,terms_open,false,false
beurteilung-des-chemischen-gewasserzustandes-nitrat,b488bc32-a6e0-4708-ad77-8e4f890dcb71,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.gewaesserschutz-chemischer_zustand_nitrat,text/html,2014-03-26T00:00:00,,terms_open,false,false
beurteilung-des-chemischen-gewasserzustandes-nitrat,1054ad88-9d65-4d00-9e60-90cd66303a4a,ch.bafu.gewaesserschutz-chemischer_zustand_nitrat,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2014-03-26T00:00:00,,terms_open,false,false
beurteilung-des-chemischen-gewasserzustandes-nitrat,f0e4dc57-df3d-4ac9-80e6-1cba2cd1f299,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.gewaesserschutz-nawa/items/gewaesserschutz-nawa_chemie,,2014-03-26T00:00:00,,terms_open,true,false
beurteilung-des-chemischen-gewasserzustandes-nitrat,8d45a5bb-36bd-410a-a631-956e58f70843,RESTful API von geo.admin.ch,XML,https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bafu.gewaesserschutz-chemischer_zustand_nitrat,application/xml,2014-03-26T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-nickel,4359a808-df9b-4139-bc4f-f3039af70bbc,ch.bafu.geochemischer-bodenatlas_schweiz_nickel,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-nickel,4b85faaf-b413-49b0-b1d2-e293ad75af0b,ch.bafu.geochemischer-bodenatlas_schweiz_nickel,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
